,image,label
0,"[[255 255 142 ...   0   0   0]
 [255 255 148 ...   0   0   0]
 [255 255 149 ...   0   0   0]
 ...
 [255 255 227 ... 204 204 204]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]",jackhammer
1,"[[255 255 142 ...   0   0   0]
 [255 255 148 ...   0   0   0]
 [255 255 149 ...   0   0   0]
 ...
 [255 255 227 ... 204 204 204]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]",siren
2,"[[255 255 142 ...   0   0   0]
 [255 255 148 ...   0   0   0]
 [255 255 149 ...   0   0   0]
 ...
 [255 255 227 ... 204 204 204]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]",dog_bark
3,"[[255 255 142 ...   0   0   0]
 [255 255 148 ...   0   0   0]
 [255 255 149 ...   0   0   0]
 ...
 [255 255 227 ... 204 204 204]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]",air_conditioner
4,"[[255 255 142 ...   0   0   0]
 [255 255 148 ...   0   0   0]
 [255 255 149 ...   0   0   0]
 ...
 [255 255 227 ... 204 204 204]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]",jackhammer
5,"[[255 255 142 ...   0   0   0]
 [255 255 148 ...   0   0   0]
 [255 255 149 ...   0   0   0]
 ...
 [255 255 227 ... 204 204 204]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]",siren
6,"[[255 255 142 ...   0   0   0]
 [255 255 148 ...   0   0   0]
 [255 255 149 ...   0   0   0]
 ...
 [255 255 227 ... 204 204 204]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]",drilling
7,"[[255 255 142 ...   0   0   0]
 [255 255 148 ...   0   0   0]
 [255 255 149 ...   0   0   0]
 ...
 [255 255 227 ... 204 204 204]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]",gun_shot
8,"[[255 255 142 ...   0   0   0]
 [255 255 148 ...   0   0   0]
 [255 255 149 ...   0   0   0]
 ...
 [255 255 227 ... 204 204 204]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]",gun_shot
9,"[[255 255 142 ...   0   0   0]
 [255 255 148 ...   0   0   0]
 [255 255 149 ...   0   0   0]
 ...
 [255 255 227 ... 204 204 204]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]",jackhammer
